Mean Temp,Rel Hum,Wind Spd,Total Snow
5.5,67,7,0
4.9,88,8,0
9.9,80,10,0
9.7,82,28,0
5.6,68,39,0
3.4,65,19,0
8.4,65,12,0
7.1,77,8,0
5.5,77,18,0
11.4,71,17,0
9.8,65,28,0
3.9,49,21,0
3.6,73,12,0
-1.1,73,23,0
-2.3,72,10,0.4
2.5,79,12,0.6
2.6,76,10,0
10.1,57,20,0
7.8,72,27,0
-1.1,76,13,0
-0.7,71,9,0
1.4,73,13,0
4.5,92,12,0
4.1,77,13,0
4.1,73,21,0
4.5,68,20,0
2.8,83,11,0
1,89,8,0
1.9,81,7,0
4.2,78,12,0
7.5,80,14,0
8.1,82,12,0
8.6,66,27,0
4.8,76,7,0
6.4,88,13,0
9.4,88,12,0
5.1,76,26,0
3.5,87,15,0
5.9,73,19,0
-0.2,57,22,0
-2.4,58,30,0
0.8,57,16,0
6.4,76,13,0
9.2,89,10,0
8.9,91,11,0
10.3,63,27,0
5.2,70,11,0
1.2,83,16,0
0.9,83,22,0
-3.3,72,25,3.2
2.2,91,18,0
2.3,82,16,0
0.4,76,21,0
-2.3,72,27,0.8
-2,72,21,0
-5,69,26,0
-13.3,58,20,0
-8.9,63,12,0
-2.2,61,10,0
-0.5,73,6,0
-0.8,84,11,0
5.7,91,11,0
0.2,84,29,0.2
-8.2,61,30,0
-5.8,74,24,5
-8.8,66,25,0.4
-5.3,72,17,0.2
0.6,90,12,0
-0.5,75,24,0
-5.3,64,22,0
-9.8,63,23,2.4
-9.2,67,28,0
-6,70,15,0
-6.9,68,12,0.6
-7.3,63,10,0
-7.5,66,19,0
-5.9,73,10,0
1.4,66,11,0
3.5,74,27,0
-1.1,64,20,0.2
-0.1,76,21,0.8
-5.5,68,26,0
-1.3,68,15,0
5.7,81,12,0
4.1,71,22,0
0,74,15,0
8.9,74,25,0
1.1,61,21,0
-0.2,63,13,0
1.1,62,20,0
1.8,72,12,0
1.7,83,21,1
-0.9,84,14,1.8
-6.7,70,23,1
-13.2,59,23,0
-10,64,29,1
-21.2,57,23,0
-17.4,59,8,0
-6.2,76,14,0.2
-1.1,83,16,7
-6.2,68,22,0.8
-9.7,62,10,0
2.2,63,18,0
7.6,67,29,0
1.9,64,19,0
-2.3,51,13,0
-1,60,13,0
0.5,87,20,3
-2.6,79,30,2
-7,63,23,0
-0.8,65,26,0
7.9,60,25,0
1.3,66,35,0
-9.2,71,19,9.4
-7.8,61,28,0.4
-6.8,68,11,1.2
-3,68,10,0.2
-3,68,8,0
-2.8,69,11,0
6.2,67,12,0
7.3,74,7,0
12.5,70,18,0
8.1,89,15,0
5.3,73,15,0
7.9,60,14,0
6.2,53,21,0
6.3,92,14,0
7.6,86,13,0
9.4,85,18,0
6.9,65,22,0
1.3,62,23,0
-1.8,48,13,0
-1.7,59,11,0
0.1,56,22,0
1.1,70,9,0
1.8,85,15,0.4
-1,90,17,1.4
-0.4,80,16,0
1.1,77,7,0
5.1,71,8,0
5.6,81,30,0
3.1,41,20,0
4.2,55,10,0
12.3,84,24,0
7.7,69,22,0
0.5,69,22,0.8
-4.2,67,24,10
-4.7,60,25,3.8
-4.1,44,12,0
1.9,77,13,3.1
3.1,78,25,0
0.1,56,28,0
-3.8,48,28,0
-3.4,70,13,2.6
5.6,89,14,0
2.7,65,22,0
1.5,57,8,0
3.5,43,11,0
7.2,36,11,0
11,35,10,0
12.5,34,8,0
16.3,41,17,0
11,49,22,0
8.8,34,12,0
9.9,56,9,0
