Unnamed: 0,Mean Temp,Rel Hum,Wind Spd
1627,15.5,69,16
584,23.2,54,20
1323,25.1,78,9
777,-6.5,66,22
261,18.7,77,20
818,5.5,60,11
240,19.6,72,7
692,-1.1,77,9
555,22.8,72,23
1617,18.7,68,14
1425,3.8,88,17
1423,3.4,84,13
1424,5.7,82,14
71,2.0,52,12
1815,-3.0,82,16
259,21.7,60,10
51,-11.3,80,7
398,8.9,74,25
1497,-3.9,85,14
548,19.4,51,22
1240,23.2,43,20
479,6.2,46,10
1749,10.0,85,15
806,-0.8,56,12
497,13.7,50,10
411,-1.1,83,16
1182,5.1,82,11
425,-9.2,71,19
613,21.9,66,8
997,26.5,62,7
427,-6.8,68,11
450,1.1,77,7
1418,0.1,67,7
1686,21.2,54,17
1281,27.2,66,13
990,21.1,77,8
1607,16.7,60,15
862,10.4,66,8
141,10.2,47,22
941,24.3,50,20
1299,24.4,79,12
1707,16.9,72,21
1317,21.1,62,12
1124,-4.3,75,16
342,7.5,80,14
271,18.3,85,16
184,18.4,95,6
1633,18.6,54,14
244,26.8,67,8
420,-2.6,79,30
483,4.6,45,14
1464,3.6,73,22
366,-2.0,72,21
1159,-0.9,53,13
1058,5.8,55,20
1210,7.5,92,16
1128,-12.6,60,22
1358,16.9,78,14
1329,18.3,71,21
250,25.7,76,11
518,23.3,54,14
1646,26.1,74,18
792,-7.5,55,23
610,18.5,60,16
1612,16.0,76,14
1399,8.9,90,13
637,15.2,85,22
1611,13.8,62,14
607,23.8,60,13
994,21.6,69,8
1228,12.7,50,10
439,7.6,86,13
544,19.1,65,19
182,17.5,95,6
170,17.3,59,9
292,14.8,59,14
1683,21.6,52,13
471,11.0,35,10
300,11.8,92,21
1713,17.6,78,17
1301,24.5,73,13
1307,22.0,75,10
721,1.3,80,17
1760,10.2,89,23
982,12.8,64,15
1055,7.2,62,28
371,-0.5,73,6
1049,5.1,80,14
1406,6.6,69,29
413,-9.7,62,10
886,14.5,84,14
585,22.3,48,11
175,19.1,70,11
485,8.2,42,13
1735,14.3,88,22
756,2.1,85,22
1560,4.1,58,20
334,4.5,92,12
781,2.3,67,13
590,26.4,87,15
462,3.1,78,25
1417,-1.9,73,8
926,22.9,58,16
198,25.3,95,6
15,-8.8,68,21
265,18.7,72,7
654,19.1,82,16
712,-4.0,69,24
841,9.1,78,20
1216,18.0,33,16
1235,14.6,70,19
757,0.1,70,31
1360,13.2,61,15
1764,7.3,95,20
1205,3.0,55,20
199,25.3,95,6
938,22.5,79,12
1773,-0.4,66,23
620,18.1,57,9
1040,7.7,62,23
482,5.7,50,15
1258,18.4,56,10
1189,0.2,74,38
1720,16.9,68,12
1704,17.5,79,17
618,24.2,76,19
1310,24.5,70,8
1551,-1.1,58,18
310,7.1,74,18
56,-14.0,61,17
1427,0.8,72,31
743,-5.2,60,23
1483,2.5,90,12
43,-16.4,66,17
100,7.0,58,24
274,8.7,51,23
1278,27.0,63,17
353,0.8,57,16
101,9.9,52,12
1033,6.9,69,34
107,12.2,47,22
582,27.8,63,22
1806,-5.0,68,16
780,6.6,66,19
936,19.2,67,14
1541,-0.4,68,35
1751,7.3,69,15
1222,12.9,40,12
426,-7.8,61,28
1006,16.0,64,9
1185,3.9,64,24
128,20.2,65,9
892,26.9,50,25
480,6.1,61,16
453,3.1,41,20
1566,3.4,66,10
1394,6.7,72,17
1074,-2.8,72,23
532,21.6,49,15
948,18.9,61,14
1542,-0.9,45,26
968,16.4,57,9
824,8.3,90,20
1625,16.8,58,27
628,21.6,49,12
583,24.3,51,22
1404,8.8,87,12
1073,-1.6,59,11
984,15.5,62,7
986,18.2,70,8
1333,24.5,77,15
405,-6.7,70,23
1414,-2.4,73,16
1801,-4.3,72,14
903,19.2,75,10
593,24.0,83,24
1748,8.6,69,15
1197,6.9,83,14
226,24.3,72,8
231,21.3,74,19
765,-5.7,60,23
1559,6.4,73,25
602,26.1,82,15
163,18.9,72,10
701,3.8,73,29
674,11.6,78,20
266,18.9,77,12
