Mean Temp,Rel Hum,Wind Spd
14.5,84,14
22.3,48,11
19.1,70,11
8.2,42,13
14.3,88,22
2.1,85,22
4.1,58,20
4.5,92,12
2.3,67,13
26.4,87,15
3.1,78,25
-1.9,73,8
22.9,58,16
25.3,95,6
-8.8,68,21
18.7,72,7
19.1,82,16
-4.0,69,24
9.1,78,20
18.0,33,16
14.6,70,19
0.1,70,31
13.2,61,15
7.3,95,20
3.0,55,20
25.3,95,6
22.5,79,12
-0.4,66,23
18.1,57,9
7.7,62,23
5.7,50,15
18.4,56,10
0.2,74,38
16.9,68,12
17.5,79,17
24.2,76,19
24.5,70,8
-1.1,58,18
7.1,74,18
-14.0,61,17
0.8,72,31
-5.2,60,23
2.5,90,12
-16.4,66,17
7.0,58,24
8.7,51,23
27.0,63,17
0.8,57,16
9.9,52,12
6.9,69,34
12.2,47,22
27.8,63,22
-5.0,68,16
6.6,66,19
19.2,67,14
-0.4,68,35
7.3,69,15
12.9,40,12
-7.8,61,28
16.0,64,9
3.9,64,24
20.2,65,9
26.9,50,25
6.1,61,16
3.1,41,20
3.4,66,10
6.7,72,17
-2.8,72,23
21.6,49,15
18.9,61,14
-0.9,45,26
16.4,57,9
8.3,90,20
16.8,58,27
21.6,49,12
24.3,51,22
8.8,87,12
-1.6,59,11
15.5,62,7
18.2,70,8
24.5,77,15
-6.7,70,23
-2.4,73,16
-4.3,72,14
19.2,75,10
24.0,83,24
8.6,69,15
6.9,83,14
24.3,72,8
21.3,74,19
-5.7,60,23
6.4,73,25
26.1,82,15
18.9,72,10
3.8,73,29
11.6,78,20
18.9,77,12
20.8,59,10
15.7,45,11
-11.1,70,24
6.9,86,17
2.2,86,17
0.7,91,10
15.0,66,8
23.2,95,6
5.4,84,12
13.2,75,26
1.2,83,13
-13.2,55,19
21.7,72,9
3.1,78,19
-0.9,62,18
20.2,69,20
26.2,55,18
-3.8,68,27
4.7,64,18
14.0,71,16
21.3,77,14
16.8,66,12
21.6,76,18
0.3,64,27
26.0,41,14
3.3,79,12
18.8,63,16
3.9,57,28
19.5,59,12
19.0,72,22
9.1,64,20
-8.0,64,32
-0.1,71,25
5.8,74,25
-6.5,65,10
-2.3,75,18
18.5,73,20
23.5,83,10
-3.7,86,14
7.6,90,19
23.7,61,14
17.7,66,19
16.3,67,13
16.6,74,12
-2.1,84,12
20.4,85,14
23.9,68,14
9.7,60,22
1.4,61,25
12.4,84,7
2.3,67,17
5.2,70,11
-11.0,65,21
17.6,67,16
18.2,83,17
2.8,67,21
25.5,95,6
19.6,61,14
0.8,80,6
-11.8,62,11
-1.3,79,18
0.9,69,25
2.3,82,16
-0.2,73,16
23.8,66,11
8.8,75,12
-1.3,69,33
1.5,95,14
11.3,48,14
-2.9,79,15
2.5,93,10
12.5,57,13
9.7,94,13
8.0,79,13
20.3,65,24
25.3,63,11
-7.0,48,18
23.3,68,19
6.7,56,9
-0.5,75,24
2.3,83,17
2.5,76,14
4.6,57,14
10.1,57,20
24.2,66,12
18.4,36,22
2.7,77,10
-2.0,69,23
22.1,60,15
5.1,71,8
11.8,68,15
24.3,77,8
11.5,68,20
0.7,68,9
-1.2,73,14
12.0,78,19
7.3,70,25
18.9,54,15
11.0,81,10
12.9,79,21
3.1,73,9
-6.8,67,26
-1.6,74,16
2.5,79,12
13.7,83,19
20.3,56,13
20.3,76,24
15.6,69,15
-1.9,68,10
15.6,77,22
1.1,73,21
21.8,64,27
-6.1,44,24
23.6,50,16
16.4,86,14
0.5,69,22
-14.5,67,25
8.9,68,16
19.0,81,9
2.6,56,24
21.0,56,12
-8.8,70,26
9.2,57,17
19.8,57,14
19.6,56,22
30.5,64,23
0.9,77,15
-4.5,71,24
7.9,60,25
12.6,62,29
14.6,70,25
-0.6,75,9
-3.0,68,10
6.7,70,18
21.5,75,17
-8.5,74,21
27.6,75,18
4.0,81,18
22.2,62,23
25.2,84,18
-2.3,72,10
25.7,76,20
22.9,66,17
4.7,65,25
12.8,43,8
4.2,78,12
20.6,58,19
0.9,83,22
1.0,84,12
-11.6,75,14
1.5,57,8
19.4,76,15
-11.5,64,18
26.4,52,10
7.1,78,35
3.9,87,11
4.9,60,31
18.6,71,11
2.6,76,16
22.2,79,15
-3.7,71,11
21.8,62,12
16.9,48,31
6.4,88,13
19.7,62,16
3.9,66,30
11.1,91,9
18.1,71,9
6.6,81,14
23.8,59,15
20.5,48,10
23.4,76,10
11.9,66,24
10.1,80,18
5.5,67,7
5.3,73,15
15.8,62,19
22.7,54,20
15.2,82,8
-2.8,69,11
6.1,66,34
-2.2,61,10
21.1,50,10
-20.0,60,12
19.5,95,6
24.9,73,17
21.3,58,15
25.3,86,13
16.9,66,18
24.3,60,14
20.1,58,22
11.5,81,14
1.6,66,15
1.9,77,13
-1.7,51,21
10.9,64,6
-8.8,66,25
25.6,65,9
8.6,55,12
16.7,53,9
20.1,69,22
-0.2,82,21
9.2,89,10
-9.1,72,22
6.7,59,22
16.9,70,15
1.6,61,20
26.3,95,6
3.6,93,11
13.9,34,18
27.0,59,15
14.8,57,11
18.3,76,9
-9.9,64,12
24.3,83,11
-4.5,62,22
-12.7,71,19
3.1,97,13
-7.4,75,17
-5.5,63,16
2.0,66,12
-1.6,84,30
9.9,71,12
7.0,53,23
22.0,76,11
0.4,51,24
0.1,72,23
20.8,84,11
2.1,45,14
3.9,49,21
17.1,74,14
-7.2,68,19
7.5,90,10
17.8,60,13
24.4,79,10
4.1,68,27
22.0,75,10
19.7,64,15
21.4,84,14
20.2,83,14
9.1,37,10
14.8,78,13
19.9,49,20
19.3,73,16
26.0,74,13
17.1,95,6
-5.3,66,17
20.3,73,10
-6.2,76,14
