Unnamed: 0,Mean Temp,Rel Hum,Wind Spd
125,14.5,50,9
204,21.3,95,6
52,-10.0,76,15
545,20.4,49,18
68,1.8,77,10
1818,-1.4,81,19
1416,-1.2,73,19
183,16.7,95,6
137,21.1,68,14
899,24.4,73,22
796,9.2,87,18
132,9.3,59,22
80,-6.1,53,24
1742,11.1,71,19
541,22.5,44,11
1576,8.1,81,29
983,13.7,60,9
165,20.7,87,8
248,25.6,68,12
446,1.1,70,9
1658,25.1,88,14
858,6.8,44,22
1112,-10.0,73,21
97,2.7,75,24
1799,-0.9,69,24
737,-10.9,65,16
1176,0.6,47,25
102,15.1,61,17
434,8.1,89,15
74,6.0,77,10
1639,23.4,71,13
1103,-0.2,80,23
918,24.7,66,10
1571,9.4,84,7
1636,21.3,71,20
1486,-10.5,62,15
762,-1.2,72,23
989,21.2,69,7
388,-5.9,73,10
235,20.0,65,19
267,17.1,65,11
1090,-14.4,63,27
117,11.8,59,20
1472,-6.7,56,11
673,7.8,72,15
249,27.5,64,17
1771,-0.2,81,11
94,-0.5,74,7
33,-10.8,72,19
1338,19.8,73,9
1531,0.1,60,19
448,-1.0,90,17
716,-3.3,90,10
1574,8.7,64,19
1389,3.0,61,22
0,-5.0,58,29
1255,18.2,52,8
82,-4.4,54,10
1178,-1.4,40,24
676,8.2,79,6
1326,21.0,73,10
1046,2.7,63,6
770,-8.2,55,22
1116,1.1,85,7
1548,7.5,48,15
1449,2.5,78,8
1361,12.8,63,9
404,-0.9,84,14
1787,1.8,74,17
1206,6.0,42,10
104,9.9,36,12
688,7.3,75,19
1192,-2.6,54,22
826,4.1,91,30
62,-5.3,68,24
852,8.6,78,27
1234,13.4,83,11
223,19.1,62,22
145,23.7,64,18
1088,-5.9,79,13
373,5.7,91,11
1296,24.2,60,16
1670,26.4,67,21
1366,16.6,70,16
1467,-1.4,68,21
1700,21.9,65,14
9,-12.9,66,26
449,-0.4,80,16
708,-4.1,67,15
255,12.3,76,22
882,13.6,57,20
389,1.4,66,11
908,16.0,67,17
924,18.8,87,14
1564,2.8,75,17
1131,-11.0,62,24
460,-4.1,44,12
1161,0.6,86,11
958,20.1,74,11
501,9.3,66,17
739,-6.1,60,20
1690,22.9,87,17
868,23.4,56,26
731,-0.4,65,17
539,18.2,43,10
697,5.4,79,15
1271,18.1,56,15
1521,-3.6,76,12
1031,7.4,83,14
372,-0.8,84,11
667,15.1,76,24
1605,15.5,92,13
357,10.3,63,27
967,16.4,55,13
783,5.6,96,7
735,-9.2,66,27
1035,5.5,73,9
970,19.4,66,14
1450,2.1,87,26
1359,22.4,67,31
1630,20.8,61,14
1554,1.8,43,13
1575,7.6,66,9
885,16.4,79,11
79,0.3,68,27
814,2.5,86,15
1175,0.1,40,22
671,15.1,85,6
1403,3.4,77,16
57,-15.4,64,16
133,10.4,45,11
1140,0.5,71,16
933,22.1,70,6
1545,0.2,37,11
823,9.0,61,18
504,14.5,48,11
1624,14.6,88,16
347,9.4,88,12
386,-7.3,63,10
1024,15.4,71,8
894,21.8,64,12
828,6.5,44,15
1725,26.1,62,23
475,8.8,34,12
1345,19.8,62,16
1723,18.7,76,13
652,9.5,59,9
172,21.4,67,13
1149,2.7,88,15
38,-10.7,86,19
713,-7.9,62,31
90,1.6,43,12
1765,3.3,68,26
875,13.2,95,21
1232,18.0,57,16
1093,-12.3,72,10
1155,1.8,71,19
1322,25.7,62,16
1784,3.7,84,10
499,8.1,71,25
338,2.8,83,11
1188,3.3,69,17
28,-3.6,73,15
1208,10.4,33,11
1664,20.6,53,11
945,22.9,78,11
169,17.2,66,15
1616,14.6,92,14
912,21.0,82,14
491,14.7,46,15
953,21.1,79,11
1097,-10.5,71,26
1032,6.3,71,14
587,28.8,52,12
750,2.2,90,9
657,15.7,72,9
234,18.7,71,12
732,0.4,82,13
1503,-3.6,79,26
1156,1.0,62,32
1344,21.4,72,19
1492,-14.6,58,14
934,22.3,75,13
1209,11.8,62,9
1065,4.7,67,10
108,8.1,51,26
1412,-1.3,77,20
568,29.0,50,22
1167,-1.4,74,22
1174,-2.2,50,14
890,20.7,51,13
947,17.2,68,26
1048,4.8,72,7
1233,13.4,30,19
1251,13.0,69,24
1537,-0.3,58,16
884,16.3,48,12
1535,-1.5,64,31
850,5.7,73,21
734,-2.5,72,36
717,-7.5,67,23
454,4.2,55,10
264,15.9,77,7
75,0.5,58,37
444,-1.7,59,11
395,5.7,81,12
176,18.7,60,13
1042,3.0,60,11
1591,6.9,62,15
1431,6.7,93,12
1259,23.0,66,24
595,24.1,72,12
61,-6.2,83,13
872,13.8,75,15
1362,14.9,78,20
1715,16.6,75,21
278,13.4,78,10
36,-9.0,71,24
1387,10.6,56,26
662,7.6,59,26
1651,22.3,59,16
1319,23.1,62,8
977,20.3,71,22
1440,-1.8,78,14
738,-11.2,58,24
191,22.3,95,6
919,19.9,56,23
456,7.7,69,22
675,9.0,67,9
760,-7.8,59,12
1652,23.8,71,22
